Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,C:\repos\tompostler\tom\subs\Microcharts\Sources\Microcharts\Microcharts.csproj,File,C:\repos\tompostler\tom\subs\Microcharts\Sources\Microcharts\Microcharts.csproj,,,System.ValueTuple 4.5.0,,,,,"System.ValueTuple, 4.5.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,C:\repos\tompostler\tom\subs\Microcharts\Sources\Microcharts\Microcharts.csproj,File,C:\repos\tompostler\tom\subs\Microcharts\Sources\Microcharts\Microcharts.csproj,,,SkiaSharp 2.88.3,,,,,"SkiaSharp, 2.88.3  Recommendation:  SkiaSharp, 3.119.1"
